timestamp,ip,level,method,endpoint,status_code,response_time_sec
2026-01-01 00:00:00,192.168.1.206,WARNING,GET,/api/data,200,1.45
2026-01-01 00:05:00,192.168.1.52,INFO,PUT,/api/data,200,0.928
2026-01-01 00:10:00,192.168.1.50,INFO,POST,/api/report,200,0.848
2026-01-01 00:15:00,192.168.1.135,INFO,PUT,/api/login,404,0.769
2026-01-01 00:20:00,192.168.1.219,INFO,PUT,/api/data,500,1.184
2026-01-01 00:25:00,192.168.1.83,INFO,DELETE,/api/report,200,1.241
2026-01-01 00:30:00,192.168.1.53,INFO,DELETE,/api/login,200,0.977
2026-01-01 00:35:00,192.168.1.204,WARNING,PUT,/api/login,404,0.382
2026-01-01 00:40:00,192.168.1.175,INFO,DELETE,/api/report,201,0.805
2026-01-01 00:45:00,192.168.1.62,ERROR,POST,/api/login,200,1.062
2026-01-01 00:50:00,192.168.1.198,INFO,PUT,/api/user,200,0.867
2026-01-01 00:55:00,192.168.1.152,INFO,PUT,/api/login,200,1.46
2026-01-01 01:00:00,192.168.1.46,INFO,POST,/api/report,200,1.344
2026-01-01 01:05:00,192.168.1.198,WARNING,POST,/api/user,403,1.061
2026-01-01 01:10:00,192.168.1.90,INFO,DELETE,/api/data,400,0.695
2026-01-01 01:15:00,192.168.1.197,INFO,POST,/api/user,201,0.461
2026-01-01 01:20:00,192.168.1.206,ERROR,GET,/api/user,404,0.688
2026-01-01 01:25:00,192.168.1.4,INFO,PUT,/api/data,500,0.994
2026-01-01 01:30:00,192.168.1.124,INFO,PUT,/api/report,201,1.127
2026-01-01 01:35:00,192.168.1.173,WARNING,PUT,/api/login,200,1.07
2026-01-01 01:40:00,192.168.1.102,INFO,GET,/api/login,404,1.456
2026-01-01 01:45:00,192.168.1.106,WARNING,PUT,/api/report,200,1.372
2026-01-01 01:50:00,192.168.1.127,WARNING,GET,/api/report,200,0.707
2026-01-01 01:55:00,192.168.1.98,INFO,GET,/api/logout,401,1.033
2026-01-01 02:00:00,192.168.1.157,INFO,GET,/api/login,200,0.469
2026-01-01 02:05:00,192.168.1.245,INFO,GET,/api/data,200,0.894
2026-01-01 02:10:00,192.168.1.70,WARNING,GET,/api/user,200,0.394
2026-01-01 02:15:00,192.168.1.143,INFO,GET,/api/logout,400,0.328
2026-01-01 02:20:00,192.168.1.198,ERROR,DELETE,/api/report,200,0.602
2026-01-01 02:25:00,192.168.1.79,INFO,POST,/api/login,200,0.298
2026-01-01 02:30:00,192.168.1.71,INFO,PUT,/api/data,200,0.337
2026-01-01 02:35:00,192.168.1.25,ERROR,PUT,/api/user,200,0.612
2026-01-01 02:40:00,192.168.1.56,INFO,POST,/api/user,403,1.012
2026-01-01 02:45:00,192.168.1.145,ERROR,DELETE,/api/login,401,1.122
2026-01-01 02:50:00,192.168.1.249,INFO,PUT,/api/login,200,0.103
2026-01-01 02:55:00,192.168.1.221,INFO,GET,/api/user,404,1.366
2026-01-01 03:00:00,192.168.1.12,ERROR,DELETE,/api/login,200,1.199
2026-01-01 03:05:00,192.168.1.151,INFO,DELETE,/api/login,200,0.71
2026-01-01 03:10:00,192.168.1.99,INFO,POST,/api/login,500,0.399
2026-01-01 03:15:00,192.168.1.22,INFO,DELETE,/api/user,200,1.29
2026-01-01 03:20:00,192.168.1.72,INFO,DELETE,/api/logout,400,0.427
2026-01-01 03:25:00,192.168.1.205,INFO,GET,/api/data,200,1.092
2026-01-01 03:30:00,192.168.1.26,INFO,GET,/api/logout,200,1.288
2026-01-01 03:35:00,192.168.1.67,INFO,PUT,/api/logout,401,0.917
2026-01-01 03:40:00,192.168.1.21,INFO,POST,/api/report,403,0.224
2026-01-01 03:45:00,192.168.1.219,WARNING,PUT,/api/login,400,0.806
2026-01-01 03:50:00,192.168.1.103,INFO,POST,/api/login,404,0.588
2026-01-01 03:55:00,192.168.1.198,INFO,GET,/api/logout,201,0.5
2026-01-01 04:00:00,192.168.1.250,ERROR,PUT,/api/user,200,1.378
